Cpu,Price_in_euros
Intel Core i5 7200U 2.5GHz,1499.0
Intel Core i5 7200U 2.5GHz,639.01
Intel Core i7 7500U 2.7GHz,599.9
Intel Core i7 7500U 2.7GHz,629.0
Intel Core i7 7820HK 2.9GHz,2729.0
Intel Core i5 7300HQ 2.5GHz,1369.9
Intel Core i5 8250U 1.6GHz,749.0
Intel Core i7 7500U 2.7GHz,961.0
Intel Core i5 7200U 2.5GHz,1034.0
Intel Core i5 8250U 1.6GHz,1142.75
Intel Core i3 6100U 2.3GHz,481.98
Intel Celeron Dual Core 3205U 1.5GHz,199.0
Intel Celeron Dual Core N3060 1.6GHz,279.0
Intel Core i7 7500U 2.7GHz,579.0
Intel Core i5 7200U 2.5GHz,499.0
Intel Core i7 7600U 2.8GHz,1775.0
Intel Core i5 7200U 2.5GHz,839.0
Intel Core i7 7700HQ 2.8GHz,879.0
Intel Core i7 7700HQ 2.8GHz,1039.0
Intel Core i7 6600U 2.6GHz,2041.0
Intel Core i5 7300HQ 2.5GHz,999.0
AMD E-Series E2-9000e 1.5GHz,349.0
Intel Core i7 7500U 2.7GHz,2254.0
Intel Core i7 8550U 1.8GHz,1099.0
Intel Core i7 6700HQ 2.6GHz,899.0
Intel Core i5 7Y54 1.2GHz,1899.0
Intel Core i7 7700HQ 2.8GHz,1149.0
AMD A12-Series 9720P 3.6GHz,949.0
Intel Core i7 7700HQ 2.8GHz,1265.0
Intel Core i5 7200U 2.5GHz,579.0
Intel Core i5 3.1GHz,1803.6
Intel Atom X5-Z8350 1.44GHz,210.8
Intel Xeon E3-1505M V6 3GHz,1993.0
Intel Celeron Dual Core N3350 1.1GHz,340.0
Intel Core i7 7820HQ 2.9GHz,2884.86
AMD A8-Series 7410 2.2GHz,469.0
AMD E-Series 6110 1.5GHz,277.99
Intel Celeron Dual Core 3205U 1.5GHz,209.0
Intel Core i5 7200U 2.5GHz,441.8
Intel Core i3 6006U 2GHz,450.0
Intel Core M m3 1.2GHz,1262.4
Intel Core i7 7500U 2.7GHz,1480.0
Intel Core i3 7130U 2.7GHz,367.0
Intel Core i3 7100U 2.4GHz,636.0
Intel Celeron Dual Core N3350 1.1GHz,299.0
Intel Core i3 6006U 2.0GHz,499.0
Intel Core i5 8250U 1.6GHz,799.0
AMD A9-Series 9420 3GHz,400.0
Intel Core i5 6200U 2.3GHz,1030.99
Intel Core M 1.1GHz,1163.0
Intel Core i5 7200U 2.5GHz,639.0
Intel Core i5 7200U 2.5GHz,539.0
Intel Core i3 6006U 2GHz,390.0
Intel Core i5 7200U 2.5GHz,750.0
Intel Core i7 8550U 1.8GHz,2449.0
Intel Pentium Quad Core N4200 1.1GHz,298.0
Intel Core i7 7660U 2.5GHz,2589.0
Intel Core i7 6820HK 2.7GHz,2663.0
Intel Core i3 6006U 2GHz,468.0
Intel Core i5 6200U 2.3GHz,1119.0
Intel Core i7 6600U 2.6GHz,2499.0
Intel Core i3 6006U 2GHz,579.0
AMD E-Series 9000e 1.5GHz,330.0
Intel Celeron Dual Core N3060 1.6GHz,274.0
Intel Core i7 7500U 2.7GHz,889.0
Intel Core i7 6600U 2.6GHz,1764.0
Intel Core i7 7700HQ 2.8GHz,1169.0
Intel Celeron Dual Core N3050 1.6GHz,369.0
Intel Core i7 7700HQ 2.8GHz,2639.0
Intel Core i7 6560U 2.2GHz,1799.0
Intel Core i7 7600U 2.8GHz,1749.0
Intel Core i7 7700HQ 2.8GHz,2505.02
Intel Celeron Dual Core N3060 1.6GHz,209.0
Intel Core i3 7100U 2.4GHz,699.0
Intel Core i5 6440HQ 2.6GHz,1369.0
Intel Core i3 6006U 2GHz,485.0
Intel Core i7 7500U 2.7GHz,1499.0
Intel Core i5 7200U 2.5GHz,590.0
Intel Pentium Quad Core N3710 1.6GHz,389.0
Intel Core i7 8550U 1.8GHz,699.0
Intel Core i7 6700HQ 2.6GHz,1312.49
Intel Core i7 7500U 2.7GHz,789.0
Intel Core i5 7200U 2.5GHz,1010.51
Intel Core i7 6700HQ 2.6GHz,909.0
Intel Core i7 6600U 2.6GHz,2299.0
Intel Core i5 7200U 2.5GHz,573.0
Intel Core i3 6006U 2GHz,389.0
Intel Core i7 7600U 2.8GHz,1099.0
Intel Core i5 6200U 2.3GHz,540.0
Intel Core i3 6006U 2GHz,439.0
Intel Core i7 7700HQ 2.8GHz,949.0
Intel Core i7 8550U 1.8GHz,2099.0
Intel Celeron Dual Core N3060 1.6GHz,385.0
Intel Celeron Dual Core N3050 1.6GHz,369.0
Intel Core i7 7700HQ 2.8GHz,2099.0
Intel Celeron Quad Core N3450 1.1GHz,369.0
Intel Core i3 6006U 2.0GHz,614.0
Intel Core i5 8250U 1.6GHz,829.0
Intel Core i7 6700HQ 2.6GHz,2350.0
Intel Core M 6Y75 1.2GHz,3100.0
Intel Core i7 7700HQ 2.8GHz,1820.0
Intel Celeron Dual Core N3350 1.1GHz,419.0
Intel Core i5 6200U 2.3GHz,769.15
Intel Core i7 6820HQ 2.7GHz,2399.0
Intel Core i3 7100U 2.4GHz,479.0
Intel Core i3 6006U 2GHz,499.0
Intel Core i5 8250U 1.6GHz,1149.0
Intel Core i7 8550U 1.8GHz,1130.33
Intel Core i5 7300HQ 2.5GHz,1089.0
Intel Core i7 7500U 2.7GHz,949.0
Intel Core i5 7200U 2.5GHz,585.0
Intel Core i7 6500U 2.5GHz,1296.99
Intel Core i7 7500U 2.7GHz,1799.0
Intel Core i7 7500U 2.7GHz,1049.0
Intel Core i7 7700HQ 2.8GHz,779.0
Intel Core i7 6700HQ 2.6GHz,1935.0
Intel Pentium Quad Core N4200 1.1GHz,380.0
Intel Core i5 7200U 2.5GHz,960.0
Intel Core i7 7700HQ 2.8GHz,1249.0
Intel Core i3 7100U 2.4GHz,435.0
Intel Celeron Dual Core N3350 1.1GHz,260.0
Intel Core i5 7200U 2.5GHz,943.0
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i3 7100U 2.4GHz,469.01
Intel Core i7 8550U 1.8GHz,841.0
Intel Core i5 7200U 2.5GHz,912.5
Intel Core i5 8250U 1.6GHz,613.0
Intel Core i5 7440HQ 2.8GHz,1089.0
Intel Core i5 7200U 2.5GHz,1144.0
Intel Core i7 6820HK 2.7GHz,3975.0
AMD E-Series E2-6110 1.5GHz,199.0
Intel Core i5 7300U 2.6GHz,869.0
Intel Pentium Quad Core N3710 1.6GHz,349.0
Intel Core i7 7500U 2.7GHz,849.9
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i7 7700HQ 2.8GHz,1845.0
Intel Celeron Dual Core N3350 1.1GHz,495.0
Intel Core i3 6006U 2GHz,449.0
Intel Core i3 6006U 2.0GHz,459.0
Intel Core i5 7200U 2.5GHz,784.0
Intel Celeron Dual Core N3350 1.1GHz,278.0
Intel Celeron Dual Core N3350 1.1GHz,306.0
Intel Pentium Quad Core N4200 1.1GHz,470.34
Intel Core i7 7500U 2.7GHz,1388.0
Intel Core i5 7200U 2.5GHz,498.0
Intel Core i3 6006U 2GHz,617.9
Intel Core i5 6200U 2.3GHz,910.0
Intel Core i5 6200U 2.3GHz,1020.0
Intel Core i5 6300HQ 2.3GHz,1129.0
Intel Core i5 7200U 2.5GHz,1799.0
Intel Core i5 7300U 2.6GHz,1650.0
Intel Core i5 7200U 2.5GHz,973.0
Intel Core i7 7700HQ 2.8GHz,1749.0
Intel Core i5 8250U 1.6GHz,1116.02
Intel Pentium Quad Core N3710 1.6GHz,530.0
Intel Core i7 7500U 2.7GHz,859.0
Intel Core i3 7100U 2.4GHz,586.6
Intel Celeron Dual Core 3855U 1.6GHz,318.0
Intel Core i7 6700HQ 2.6GHz,1196.0
Intel Core i5 7200U 2.5GHz,598.99
Intel Core i5 6200U 2.3GHz,1669.0
Intel Core i7 6500U 2.5GHz,720.32
Intel Core M 6Y75 1.2GHz,2014.0
Intel Core i5 7300HQ 2.5GHz,1017.0
Intel Core i7 7500U 2.7GHz,2049.0
Intel Core i5 8250U 1.6GHz,1049.0
Intel Core i7 6500U 2.5GHz,1468.0
Intel Core i5 7200U 2.5GHz,1099.0
AMD A10-Series 9600P 2.4GHz,499.0
Intel Core i5 7300HQ 2.5GHz,1095.0
AMD E-Series E2-9000 2.2GHz,349.0
Intel Core i7 6700HQ 2.6GHz,2325.0
Intel Core i7 7700HQ 2.8GHz,999.0
Intel Core i7 6500U 2.5GHz,720.32
Intel Core i5 7200U 2.5GHz,889.0
Intel Core i5 7200U 2.5GHz,619.0
Intel Core i5 7300HQ 2.5GHz,985.0
Intel Core i5 7200U 2.5GHz,911.0
AMD A9-Series 9410 2.9GHz,549.99
Intel Core i7 2.2GHz,2139.97
Intel Core i3 6006U 2.0GHz,361.8
Intel Core i5 8250U 1.6GHz,977.0
Intel Pentium Quad Core N4200 1.1GHz,304.0
Intel Core i5 6300U 2.4GHz,1046.44
Intel Core i5 7Y57 1.2GHz,1559.0
Intel Celeron Dual Core N3050 1.6GHz,369.0
Intel Core i7 7700HQ 2.8GHz,2267.86
Intel Core i7 7700HQ 2.8GHz,1598.0
Intel Core i7 8550U 1.8GHz,1279.0
Intel Core i5 7300U 2.6GHz,1268.0
Intel Core i5 6200U 2.3GHz,940.0
Intel Core i7 7500U 2.7GHz,2509.0
Intel Core i5 7200U 2.5GHz,860.0
Intel Celeron Quad Core N3160 1.6GHz,325.0
Intel Pentium Quad Core N4200 1.1GHz,466.0
Intel Core i5 6200U 2.3GHz,1349.0
Intel Core i5 7200U 2.5GHz,789.81
Intel Core i3 6100U 2.1GHz,498.0
Intel Core i5 6300HQ 2.3GHz,1191.0
Intel Core i7 6500U 2.5GHz,669.0
Intel Core i7 8550U 1.8GHz,951.0
AMD A9-Series 9420 3GHz,469.0
Intel Core i7 7500U 2.7GHz,1193.0
Intel Core i5 6200U 2.3GHz,493.0
Intel Core i5 7200U 2.5GHz,616.0
Intel Core i5 7300HQ 2.5GHz,809.0
Intel Core i7 7600U 2.8GHz,1690.0
Intel Core i5 8250U 1.6GHz,521.47
Intel Core i7 6700HQ 2.6GHz,2150.0
Intel Core i5 6200U 2.3GHz,398.0
Intel Core i7 6600U 2.6GHz,1858.0
Intel Core i3 7100U 2.4GHz,509.0
Intel Core i7 6500U 2.5GHz,1870.0
Intel Core i7 6700HQ 2.6GHz,1599.0
Intel Core i7 6500U 2.5GHz,1029.0
Intel Core i7 7700HQ 2.8GHz,1699.0
Intel Core i5 7200U 2.5GHz,1119.0
Intel Core i7 7700HQ 2.8GHz,1499.0
Intel Core i3 7100U 2.4GHz,459.0
Intel Core i5 7300HQ 2.5GHz,839.0
Intel Celeron Dual Core N3350 1.1GHz,321.99
Intel Core i3 6006U 2GHz,418.64
Intel Celeron Dual Core N3050 1.6GHz,229.0
Intel Core i7 7700HQ 2.8GHz,1191.8
Intel Celeron Dual Core N3350 1.1GHz,245.0
Intel Core i7 6700HQ 2.6GHz,1329.0
Intel Core i7 6500U 2.5GHz,1043.0
Intel Core i7 7500U 2.7GHz,1335.0
Intel Atom x5-Z8350 1.44GHz,239.0
Intel Core i5 7200U 2.5GHz,1126.71
Intel Core i7 7500U 2.7GHz,1334.0
Intel Core i5 6200U 2.3GHz,1637.0
Intel Core i5 1.6GHz,998.0
Intel Core i7 6820HK 2.7GHz,2199.0
Intel Core i7 6820HQ 2.7GHz,2338.0
AMD A6-Series 9220 2.5GHz,399.0
Intel Core i7 7600U 2.8GHz,1867.85
Intel Celeron Dual Core N3060 1.6GHz,289.0
Intel Core i7 6500U 2.5GHz,847.0
Intel Core i7 7500U 2.5GHz,1799.0
Intel Core i5 6300U 2.4GHz,1099.99
Intel Core i5 7200U 2.5GHz,1135.0
Intel Core i7 7700HQ 2.8GHz,1479.0
Intel Core i7 7700HQ 2.8GHz,1699.0
Intel Core i7 6920HQ 2.9GHz,2799.0
Intel Core i7 8550U 1.8GHz,819.0
Intel Core i5 6200U 2.3GHz,1599.0
Intel Core i3 6006U 2GHz,564.0
Intel Core i5 6200U 2.3GHz,535.0
Intel Celeron Dual Core N3060 1.6GHz,259.0
Intel Core i7 7500U 2.7GHz,1458.0
Intel Core i5 7200U 2.5GHz,857.07
Intel Core i7 7500U 2.7GHz,1269.0
Intel Core i7 7700HQ 2.8GHz,3499.0
Intel Core i7 6500U 2.5GHz,1363.0
Intel Core i5 1.8GHz,1158.7
Intel Core i5 7300HQ 2.5GHz,997.9
Intel Core i7 7500U 2.7GHz,2625.0
Intel Core i7 7700HQ 2.8GHz,1199.0
Intel Celeron Dual Core N3350 1.1GHz,252.36
Intel Core i5 7200U 2.5GHz,1639.0
Intel Core i5 8250U 1.6GHz,1499.0
Intel Core i7 7700HQ 2.8GHz,1260.0
Intel Core i7 7500U 2.7GHz,749.0
Intel Core i7 6700HQ 2.6GHz,3949.4
Intel Pentium Quad Core N3710 1.6GHz,369.0
Intel Core i7 7700HQ 2.8GHz,1679.0
Intel Core i3 6006U 2GHz,345.99
Intel Core i5 6200U 2.3GHz,1002.0
Intel Core i5 7200U 2.5GHz,586.19
Intel Celeron Dual Core N3350 2GHz,272.0
Intel Celeron Dual Core N3060 1.6GHz,265.0
Intel Core i7 7820HQ 2.9GHz,2090.0
Intel Core i5 7200U 2.5GHz,902.0
Intel Core i7 7500U 2.7GHz,1099.0
Intel Core i7 6700HQ 2.6GHz,899.0
Intel Core i7 7700HQ 2.8GHz,1655.0
Intel Core i5 7200U 2.5GHz,850.66
Intel Core i7 8550U 1.8GHz,1215.38
Intel Core i7 7600U 2.8GHz,1537.39
Intel Core i7 8550U 1.8GHz,855.0
Intel Core i7 7500U 2.7GHz,1499.0
