Memory,Price_in_euros
512GB SSD,2040.0
256GB SSD,2339.0
2TB HDD,459.0
32GB Flash Storage,349.0
1TB HDD,819.0
256GB SSD +  1TB HDD,1379.0
256GB SSD,1185.43
500GB HDD,1189.0
512GB SSD,1249.26
32GB Flash Storage,255.0
1TB HDD,465.0
256GB SSD,980.0
256GB SSD,1579.0
1TB HDD,699.0
500GB HDD,479.0
256GB SSD,1713.49
128GB SSD +  1TB HDD,2349.0
128GB SSD +  1TB HDD,1207.0
256GB SSD,1584.0
256GB SSD,1049.6
128GB SSD,589.0
256GB SSD,1495.0
256GB SSD +  1TB HDD,1144.5
512GB SSD,2199.0
256GB SSD,1799.0
256GB SSD,1949.0
512GB SSD,1943.0
180GB SSD,1096.0
64GB Flash Storage,229.0
500GB HDD,1149.0
2TB HDD,389.0
256GB SSD,1195.0
256GB SSD,1009.9
256GB SSD,1399.0
32GB SSD,249.0
128GB SSD +  1TB HDD,2153.37
128GB SSD,449.0
128GB SSD,569.0
500GB HDD,309.0
256GB SSD,1500.0
512GB SSD,2450.0
256GB SSD,1299.0
256GB SSD,1477.0
256GB SSD,1950.0
1TB HDD,684.99
1TB HDD,1169.0
1TB HDD,598.0
500GB HDD,1135.15
128GB SSD,547.0
1TB HDD,999.0
1TB HDD,429.0
256GB SSD,999.9
500GB HDD,289.0
1TB HDD,389.0
512GB SSD,1103.0
1TB SSD +  1TB HDD,3659.4
1TB HDD,899.0
1TB HDD,1199.0
500GB HDD,1060.0
1TB HDD,649.0
512GB SSD,2027.42
512GB SSD,1899.0
256GB SSD,1399.95
128GB SSD,638.0
128GB SSD,412.0
128GB SSD +  1TB HDD,1327.0
256GB SSD,2229.0
256GB SSD,1900.0
256GB SSD,898.9
256GB SSD,1690.0
256GB SSD,1095.0
256GB SSD +  2TB HDD,2241.5
1TB HDD,745.0
256GB SSD,1669.0
256GB SSD,559.0
500GB HDD,490.0
1TB HDD,398.99
256GB SSD +  1TB HDD,2029.0
256GB SSD +  1TB HDD,1890.0
500GB HDD,349.0
512GB SSD,1499.0
32GB Flash Storage,348.0
1TB HDD,564.0
512GB SSD,1197.0
128GB SSD +  1TB HDD,719.0
128GB SSD,638.0
256GB SSD +  1TB HDD,1769.0
256GB SSD +  1TB HDD,1545.64
256GB SSD,1469.0
1TB HDD,638.99
128GB SSD,419.0
256GB SSD,1425.0
128GB SSD +  1TB HDD,1770.0
128GB SSD,989.0
256GB SSD,1399.0
1TB HDD,469.0
256GB SSD,599.0
32GB Flash Storage,191.9
1TB HDD,805.99
1TB HDD,899.0
1TB HDD,805.99
128GB SSD,744.0
256GB SSD,919.0
128GB SSD,630.0
256GB SSD,818.35
128GB SSD +  1TB HDD,1349.0
256GB SSD,1399.0
500GB HDD,379.0
256GB SSD,1699.0
128GB SSD +  1TB HDD,1159.0
1TB HDD,914.0
128GB SSD,599.0
256GB SSD,1228.99
256GB SSD,1082.0
256GB SSD,770.0
128GB SSD +  1TB HDD,1029.0
500GB HDD,705.15
256GB SSD,889.0
256GB SSD,1449.0
256GB SSD,695.0
256GB SSD,797.41
64GB Flash Storage,1159.0
256GB SSD,1099.0
512GB SSD,1965.0
256GB SSD,1049.9
256GB SSD,1579.0
500GB HDD,369.0
256GB SSD,698.0
1TB HDD,489.0
500GB HDD,509.0
256GB SSD,1062.95
32GB SSD,229.0
32GB Flash Storage,275.0
512GB SSD,1483.0
128GB SSD +  1TB HDD,499.0
256GB SSD,1398.99
256GB SSD,1186.0
32GB Flash Storage,389.0
128GB SSD,468.0
256GB SSD,869.0
256GB SSD,945.0
512GB SSD,1869.0
512GB SSD,1468.0
32GB SSD,389.0
256GB SSD,1399.0
256GB SSD +  1TB HDD,2799.0
256GB SSD,1869.0
1TB HDD,579.0
64GB Flash Storage,669.0
128GB SSD,726.0
256GB SSD,1179.0
256GB SSD,1419.0
256GB SSD,1229.56
256GB SSD,1379.0
512GB SSD,729.0
512GB SSD,2440.0
1TB HDD,544.0
1TB HDD,309.0
256GB SSD,941.0
1.0TB Hybrid,549.99
64GB Flash Storage,248.9
512GB SSD,1899.0
256GB SSD +  1TB HDD,2699.0
256GB SSD,1899.0
256GB SSD,1535.0
256GB SSD,1299.0
500GB HDD,347.0
128GB SSD +  2TB HDD,985.0
256GB SSD,1099.0
256GB SSD,1145.0
256GB SSD,2590.0
128GB SSD +  1TB HDD,789.0
1TB HDD,955.0
256GB SSD,728.0
512GB SSD +  1TB HDD,1749.0
1TB HDD,465.62
512GB SSD,1970.0
256GB SSD,1700.0
256GB SSD,1304.0
256GB SSD,1841.85
500GB HDD,650.0
500GB HDD,722.0
256GB SSD,659.0
1TB HDD,589.0
256GB SSD,1205.0
128GB SSD +  1TB HDD,3012.77
256GB SSD,1649.0
16GB Flash Storage,287.9
256GB SSD,1219.0
256GB SSD,846.0
256GB SSD,1149.0
256GB SSD,928.0
128GB SSD +  1TB HDD,1060.49
500GB HDD,602.0
256GB SSD,549.0
1TB SSD,2399.0
256GB SSD +  1TB HDD,1199.0
1TB HDD,806.0
128GB SSD +  1TB HDD,1145.0
256GB SSD,2198.19
256GB SSD,1079.0
1TB HDD,794.0
1TB HDD,288.9
256GB SSD,1149.0
256GB SSD,1887.21
256GB Flash Storage,959.0
512GB SSD,1499.0
512GB SSD +  512GB SSD,1499.0
512GB SSD,1899.0
128GB SSD,705.5
128GB SSD,740.0
32GB Flash Storage,249.0
500GB HDD,1579.0
1TB HDD,977.0
512GB SSD +  256GB SSD,1607.96
256GB SSD,1975.0
256GB SSD,829.0
256GB SSD +  1TB HDD,1498.0
256GB SSD,1499.0
1TB HDD,639.01
1TB HDD,599.9
2TB HDD,629.0
512GB SSD +  1TB HDD,2729.0
128GB SSD +  1TB HDD,1369.9
256GB SSD,749.0
1TB HDD,961.0
256GB SSD,1034.0
256GB SSD,1142.75
500GB HDD,481.98
16GB SSD,199.0
32GB Flash Storage,279.0
1TB HDD,579.0
1TB HDD,499.0
256GB SSD,1775.0
256GB SSD,839.0
256GB SSD,879.0
1TB HDD,1039.0
512GB SSD,2041.0
128GB SSD +  1TB HDD,999.0
500GB HDD,349.0
1TB SSD,2254.0
128GB SSD +  1TB HDD,1099.0
1TB HDD,899.0
256GB SSD,1899.0
256GB SSD +  1TB HDD,1149.0
512GB SSD,949.0
128GB SSD +  1TB HDD,1265.0
256GB SSD,579.0
256GB SSD,1803.6
32GB Flash Storage,210.8
64GB Flash Storage +  1TB HDD,1993.0
64GB Flash Storage,340.0
256GB SSD,2884.86
256GB SSD,469.0
64GB SSD,277.99
16GB SSD,209.0
500GB HDD,441.8
500GB HDD,450.0
256GB SSD,1262.4
256GB SSD,1480.0
1TB HDD,367.0
128GB SSD,636.0
32GB Flash Storage,299.0
128GB SSD,499.0
256GB SSD,799.0
500GB HDD,400.0
500GB HDD,1030.99
256GB Flash Storage,1163.0
1TB HDD,639.0
1TB HDD,539.0
1TB HDD,390.0
256GB SSD,750.0
1TB SSD,2449.0
1TB HDD,298.0
512GB SSD,2589.0
256GB SSD +  1TB HDD,2663.0
1TB HDD,468.0
256GB SSD,1119.0
512GB SSD,2499.0
1TB HDD,579.0
500GB HDD,330.0
32GB Flash Storage,274.0
128GB SSD +  1TB HDD,889.0
512GB SSD,1764.0
1TB HDD,1169.0
500GB HDD,369.0
1TB SSD,2639.0
1TB SSD,1799.0
1TB SSD,1749.0
128GB SSD +  1TB HDD,2505.02
32GB Flash Storage,209.0
128GB SSD,699.0
500GB HDD,1369.0
256GB SSD,485.0
512GB SSD,1499.0
128GB HDD,590.0
2TB HDD,389.0
256GB SSD,699.0
128GB SSD +  1TB HDD,1312.49
256GB SSD,789.0
256GB SSD,1010.51
256GB SSD +  1TB HDD,909.0
512GB SSD,2299.0
256GB SSD,573.0
1TB HDD,389.0
256GB SSD,1099.0
500GB HDD,540.0
500GB HDD,439.0
1TB HDD,949.0
512GB SSD,2099.0
16GB Flash Storage,385.0
500GB HDD,369.0
256GB SSD +  1TB HDD,2099.0
32GB SSD,369.0
1TB HDD,614.0
256GB SSD,829.0
256GB SSD +  1TB HDD,2350.0
240GB SSD,3100.0
256GB SSD,1820.0
500GB HDD,419.0
500GB HDD,769.15
256GB SSD +  1TB HDD,2399.0
1TB HDD,479.0
128GB SSD,499.0
256GB SSD,1149.0
256GB SSD +  1TB HDD,1130.33
128GB SSD +  1TB HDD,1089.0
128GB SSD +  1TB HDD,949.0
500GB HDD,585.0
256GB SSD,1296.99
512GB SSD +  2TB HDD,1799.0
256GB SSD,1049.0
1TB HDD,779.0
128GB SSD +  1TB HDD,1935.0
500GB HDD,380.0
256GB SSD,960.0
128GB SSD +  1TB HDD,1249.0
1TB HDD,435.0
32GB Flash Storage,260.0
256GB SSD,943.0
1TB HDD,1749.0
1TB HDD,469.01
256GB SSD,841.0
128GB SSD +  1TB HDD,912.5
1TB HDD,613.0
256GB SSD,1089.0
256GB SSD,1144.0
1TB SSD,3975.0
32GB Flash Storage,199.0
500GB HDD,869.0
128GB Flash Storage,349.0
256GB SSD,849.9
256GB SSD +  1TB HDD,1749.0
512GB SSD +  1TB HDD,1845.0
64GB Flash Storage,495.0
1TB HDD,449.0
1TB HDD,459.0
1TB HDD,784.0
32GB Flash Storage,278.0
1TB HDD,306.0
1TB HDD,470.34
256GB SSD,1388.0
128GB SSD,498.0
1TB HDD,617.9
500GB HDD,910.0
128GB SSD,1020.0
128GB SSD +  1TB HDD,1129.0
256GB SSD,1799.0
256GB SSD,1650.0
256GB SSD,973.0
128GB SSD +  1TB HDD,1749.0
256GB SSD,1116.02
1TB HDD,530.0
256GB SSD,859.0
1TB HDD,586.6
500GB HDD,318.0
128GB SSD +  1TB HDD,1196.0
256GB SSD,598.99
256GB SSD,1669.0
500GB HDD,720.32
512GB SSD,2014.0
1TB HDD,1017.0
512GB SSD,2049.0
256GB SSD,1049.0
512GB SSD,1468.0
256GB SSD,1099.0
1TB HDD,499.0
128GB SSD +  1TB HDD,1095.0
128GB SSD,349.0
256GB SSD +  1TB HDD,2325.0
256GB SSD,999.0
500GB HDD,720.32
256GB SSD,889.0
500GB HDD,619.0
256GB SSD,985.0
256GB SSD,911.0
1.0TB Hybrid,549.99
256GB Flash Storage,2139.97
500GB HDD,361.8
128GB SSD +  1TB HDD,977.0
500GB HDD,304.0
500GB HDD,1046.44
256GB SSD,1559.0
500GB HDD,369.0
256GB SSD +  1TB HDD,2267.86
256GB SSD +  1TB HDD,1598.0
512GB SSD,1279.0
256GB SSD,1268.0
500GB HDD,940.0
512GB SSD,2509.0
500GB HDD,860.0
16GB Flash Storage,325.0
1TB HDD,466.0
256GB SSD,1349.0
256GB SSD,789.81
128GB SSD,498.0
256GB SSD,1191.0
1TB HDD,669.0
256GB SSD,951.0
1TB HDD,469.0
256GB SSD,1193.0
128GB SSD,493.0
1TB HDD,616.0
128GB SSD +  1TB HDD,809.0
256GB SSD,1690.0
1TB HDD,521.47
512GB SSD +  1TB HDD,2150.0
500GB HDD,398.0
256GB SSD,1858.0
128GB SSD,509.0
512GB SSD,1870.0
256GB SSD,1599.0
256GB SSD,1029.0
128GB SSD +  1TB HDD,1699.0
128GB SSD,1119.0
256GB SSD +  1TB HDD,1499.0
1TB HDD,459.0
128GB SSD +  1TB HDD,839.0
1TB HDD,321.99
1TB HDD,418.64
64GB Flash Storage,229.0
128GB SSD +  1TB HDD,1191.8
32GB Flash Storage,245.0
256GB SSD +  1TB HDD,1329.0
256GB SSD,1043.0
256GB SSD,1335.0
32GB Flash Storage,239.0
256GB SSD,1126.71
256GB SSD +  1TB HDD,1334.0
256GB SSD,1637.0
256GB Flash Storage,998.0
128GB SSD +  1TB HDD,2199.0
512GB SSD,2338.0
500GB HDD,399.0
256GB SSD,1867.85
500GB HDD,289.0
256GB SSD,847.0
512GB SSD,1799.0
256GB SSD,1099.99
256GB SSD,1135.0
256GB SSD +  1TB HDD,1479.0
1TB HDD,1699.0
512GB SSD +  1TB HDD,2799.0
1TB HDD,819.0
128GB SSD,1599.0
1TB HDD,564.0
500GB HDD,535.0
500GB HDD,259.0
256GB SSD,1458.0
256GB SSD,857.07
1TB HDD,1269.0
1TB SSD,3499.0
256GB SSD,1363.0
256GB Flash Storage,1158.7
256GB SSD,997.9
1TB SSD,2625.0
128GB SSD +  1TB HDD,1199.0
1TB HDD,252.36
256GB SSD,1639.0
256GB SSD,1499.0
128GB SSD +  1TB HDD,1260.0
1TB HDD,749.0
256GB SSD,3949.4
500GB HDD,369.0
512GB SSD,1679.0
1TB HDD,345.99
508GB Hybrid,1002.0
256GB SSD,586.19
1TB HDD,272.0
16GB SSD,265.0
256GB SSD,2090.0
256GB SSD,902.0
512GB SSD +  2TB HDD,1099.0
1TB HDD,899.0
128GB SSD +  1TB HDD,1655.0
1TB HDD,850.66
256GB SSD,1215.38
256GB SSD,1537.39
128GB SSD +  1TB HDD,855.0
512GB SSD,1499.0
512GB SSD,2537.45
256GB SSD,1349.0
512GB SSD +  1TB HDD,3890.0
256GB SSD +  1TB HDD,2449.0
256GB SSD,1699.0
32GB Flash Storage,379.0
256GB SSD,949.0
1TB HDD,649.0
256GB SSD,1975.0
256GB SSD,1429.0
256GB SSD,1244.0
256GB SSD +  1TB HDD,1504.0
512GB SSD,1849.0
1TB HDD,539.0
8GB SSD,2249.0
128GB SSD +  1TB HDD,1191.0
256GB SSD,735.07
256GB SSD +  500GB HDD,891.0
500GB HDD,800.0
180GB SSD,1364.0
512GB SSD,1680.0
1TB HDD,726.0
256GB SSD,599.0
32GB Flash Storage,292.0
512GB SSD,1159.0
256GB SSD,1472.2
32GB Flash Storage,286.0
32GB SSD,174.0
512GB SSD,2499.0
256GB SSD +  1TB HDD,1179.0
500GB HDD,812.0
1TB HDD,309.0
256GB SSD,690.0
500GB HDD,379.0
128GB SSD,638.0
1TB HDD,749.0
256GB SSD,889.0
500GB HDD,224.0
128GB SSD +  1TB HDD,1511.19
256GB SSD,649.0
256GB SSD,1859.0
256GB SSD +  1TB HDD,1949.0
128GB SSD,445.9
256GB SSD +  1TB HDD,1299.0
512GB SSD,1873.0
512GB SSD,1900.0
1TB HDD,629.0
256GB SSD,1031.0
512GB SSD +  1TB HDD,2499.0
256GB SSD,999.0
256GB SSD,1349.0
512GB SSD,2397.0
1TB HDD,2046.0
64GB Flash Storage,319.0
256GB SSD,1199.0
32GB Flash Storage,615.0
64GB Flash Storage,229.0
256GB SSD,879.0
512GB SSD,2799.0
128GB SSD,403.5
500GB HDD,299.0
1TB HDD,565.0
128GB SSD +  1TB HDD,1009.0
1TB HDD,979.0
1TB HDD,764.0
1TB HDD,906.62
500GB HDD,1199.0
1.0TB HDD,659.0
128GB SSD +  1TB HDD,1899.0
1.0TB Hybrid,895.0
512GB SSD,2013.1
1TB HDD,449.0
500GB HDD,629.0
128GB SSD +  1TB HDD,1099.0
256GB SSD,1018.99
256GB SSD,399.0
500GB HDD,612.61
128GB SSD +  1TB HDD,575.0
256GB SSD,1119.0
256GB SSD,1180.0
128GB SSD +  1TB HDD,1399.0
1TB HDD,795.99
512GB SSD +  1TB HDD,3147.37
16GB Flash Storage,459.9
256GB SSD +  1TB HDD,2122.0
128GB SSD +  1TB HDD,813.0
256GB SSD,1027.74
500GB HDD,990.0
256GB SSD,884.0
512GB SSD,1399.0
1TB HDD,659.01
32GB Flash Storage,209.0
256GB SSD +  1TB HDD,2599.0
256GB SSD,778.87
256GB SSD +  1TB HDD,1407.0
256GB SSD +  1TB HDD,1591.0
256GB SSD,805.0
1TB HDD,545.67
500GB HDD,685.0
256GB SSD,977.0
1TB HDD,609.0
128GB SSD +  1TB HDD,1085.0
256GB SSD +  2TB HDD,1219.24
128GB SSD +  1TB HDD,2289.99
32GB Flash Storage,349.0
512GB SSD,1499.0
256GB SSD,1599.0
256GB SSD,899.0
128GB SSD,689.0
500GB HDD,722.0
256GB SSD,639.9
256GB SSD +  1TB HDD,1799.0
1TB HDD,519.0
256GB SSD,895.01
500GB HDD,1539.0
1TB HDD,839.0
256GB SSD,923.0
1TB HDD,549.0
1TB HDD,805.99
256GB SSD +  1TB HDD,1600.0
128GB SSD,1265.0
512GB SSD,2299.0
128GB SSD,881.0
1TB HDD,742.0
1TB HDD,1799.0
512GB SSD,2089.0
512GB SSD,2226.0
2TB HDD,699.0
500GB HDD,523.63
256GB SSD,870.0
256GB SSD,1738.27
512GB Flash Storage,1279.0
1TB HDD,739.0
1TB SSD,2499.0
256GB SSD,2135.0
128GB Flash Storage,1099.0
32GB Flash Storage,615.0
128GB SSD,603.0
1TB HDD,529.0
256GB SSD,1340.0
256GB SSD +  1TB HDD,1224.0
256GB SSD +  1TB HDD,2094.48
128GB SSD,1195.0
128GB SSD,899.0
1TB HDD,776.0
256GB SSD +  1TB HDD,1299.0
1TB HDD,384.0
256GB SSD,739.0
128GB SSD,1599.0
256GB SSD,1299.0
256GB SSD,498.9
256GB SSD +  1TB HDD,1299.0
256GB SSD,1200.0
1TB HDD,398.0
256GB SSD,2999.0
500GB HDD,639.0
256GB SSD,665.0
128GB SSD,399.0
256GB SSD,478.89
512GB SSD,959.0
1TB HDD +  1TB HDD,621.45
500GB HDD,344.99
32GB Flash Storage,249.0
1TB HDD,579.0
256GB SSD,749.01
256GB SSD +  1TB HDD,2419.0
1TB HDD,459.0
512GB SSD,1271.0
256GB SSD,1045.0
1TB HDD,598.0
128GB Flash Storage,485.0
128GB SSD +  1TB HDD,1109.0
512GB SSD,1877.0
1TB HDD,443.9
512GB SSD,1699.0
256GB SSD,769.99
256GB SSD,2439.97
128GB SSD,568.9
256GB SSD +  1TB HDD,1695.0
256GB SSD,1399.0
1TB HDD,449.0
1TB HDD,647.0
128GB SSD +  1TB HDD,2299.0
256GB SSD +  1TB HDD,2249.0
500GB HDD,529.0
256GB SSD,959.0
512GB SSD,2449.0
256GB SSD,779.0
256GB SSD,1399.0
1TB HDD,846.0
500GB HDD,410.8
128GB SSD,1166.97
256GB SSD,1358.0
256GB SSD,4389.0
1TB HDD,488.69
256GB SSD,1049.0
256GB SSD,1099.99
256GB SSD,1179.0
1TB HDD,896.0
256GB SSD,1518.55
128GB SSD,565.0
32GB Flash Storage,330.0
256GB SSD,830.0
1TB HDD,589.0
256GB SSD,1590.0
256GB SSD,1413.1
128GB SSD +  1TB HDD,1649.0
512GB SSD,729.0
256GB SSD,1099.0
256GB SSD,699.0
128GB SSD,619.0
1TB HDD,499.0
256GB SSD,689.0
256GB SSD,949.0
256GB SSD,988.0
256GB SSD +  1TB HDD,799.0
256GB SSD +  1TB HDD,3149.0
256GB SSD,1962.98
500GB HDD,1064.0
512GB SSD,2099.0
256GB SSD,1672.0
1TB HDD,597.0
512GB SSD,2282.0
256GB SSD,1799.0
256GB SSD,2599.0
256GB SSD,598.9
32GB Flash Storage,297.0
2TB HDD,899.0
1TB HDD,685.0
1TB HDD,739.0
256GB SSD +  1TB HDD,1499.0
512GB SSD,1799.0
32GB Flash Storage,298.0
512GB SSD,2025.0
512GB SSD,1999.0
1TB SSD,2824.0
256GB SSD +  2TB HDD,1049.0
500GB HDD,387.0
128GB SSD,499.0
512GB SSD,1403.0
256GB SSD,859.0
512GB SSD,1495.0
1TB HDD,649.0
256GB Flash Storage,2049.0
256GB SSD,499.0
500GB HDD,447.0
500GB HDD,849.0
128GB SSD,713.99
500GB HDD,825.0
128GB SSD +  1TB HDD,1168.0
1TB HDD,522.99
256GB SSD,960.0
256GB SSD,499.0
256GB SSD,799.0
500GB HDD,585.0
256GB SSD,831.0
256GB SSD,1094.0
256GB SSD,1080.0
1TB HDD,659.0
500GB HDD,469.0
256GB SSD,1070.0
512GB SSD,1534.0
128GB SSD +  1TB HDD,1249.0
32GB HDD,265.0
256GB SSD,1535.0
256GB SSD,1369.0
500GB HDD,675.0
1TB HDD,399.0
256GB SSD,398.49
256GB SSD,1097.0
128GB SSD +  1TB HDD,1486.77
500GB HDD,720.32
256GB SSD,1460.0
16GB Flash Storage,269.0
256GB SSD,739.0
512GB SSD,1950.0
256GB SSD,699.0
1TB HDD,359.0
1TB SSD +  1TB HDD,3588.8
256GB SSD,2229.0
1TB HDD,659.0
256GB SSD,1390.0
512GB SSD,1790.0
1TB HDD,489.0
256GB SSD,1859.0
128GB SSD,793.0
256GB SSD,1649.0
500GB HDD,559.0
500GB HDD,274.9
256GB SSD +  1TB HDD,1999.0
512GB SSD,1748.9
1TB HDD,846.5
1TB HDD,368.0
500GB HDD,755.0
256GB SSD,702.0
500GB HDD,780.0
32GB Flash Storage,304.45
256GB SSD,679.0
32GB Flash Storage,375.0
256GB SSD,1561.0
500GB HDD,742.0
256GB SSD,1427.0
256GB SSD,1299.0
256GB SSD,682.0
32GB Flash Storage,269.0
128GB SSD,979.0
256GB SSD,745.0
256GB SSD,618.99
512GB SSD,1199.0
128GB SSD,435.0
128GB SSD +  1TB HDD,1339.0
256GB SSD +  1TB HDD,2049.9
256GB SSD,1799.0
256GB SSD,1713.37
256GB SSD +  2TB HDD,1396.0
256GB SSD,1189.0
128GB SSD +  1TB HDD,859.0
1TB HDD,999.0
256GB SSD,1090.0
256GB SSD,572.0
500GB HDD,298.0
256GB SSD +  1TB HDD,1269.0
128GB SSD,581.9
500GB HDD,932.0
256GB SSD +  2TB HDD,1299.0
1TB HDD,395.0
256GB SSD,1199.0
128GB SSD,426.0
256GB SSD,1449.9
1.0TB Hybrid,899.0
256GB SSD,1199.0
256GB SSD,800.0
256GB SSD,1629.0
2TB HDD,519.0
500GB HDD,258.0
256GB SSD +  1TB HDD,2456.34
